"seqnames" "start" "end" "width" "strand"
"1" "chr1" 1 11873 11873 "*"
"2" "chr1" 29962 69090 39129 "*"
"3" "chr1" 70009 134772 64764 "*"
"4" "chr1" 140567 700244 559678 "*"
"5" "chr1" 714069 761585 47517 "*"
"6" "chr1" 762903 762970 68 "*"
"7" "chr1" 794827 803450 8624 "*"
"8" "chr1" 812183 852952 40770 "*"
"9" "chr1" 854818 860529 5712 "*"
"10" "chr1" 894680 895966 1287 "*"
"11" "chr1" 901100 901876 777 "*"
"12" "chr1" 910485 910578 94 "*"
"13" "chr1" 917474 934341 16868 "*"
"14" "chr1" 935553 948846 13294 "*"
"15" "chr1" 949920 955502 5583 "*"
"16" "chr1" 991500 1007125 15626 "*"
"17" "chr1" 1009688 1017197 7510 "*"
"18" "chr1" 1051737 1072396 20660 "*"
"19" "chr1" 1079435 1102483 23049 "*"
"20" "chr1" 1102579 1103242 664 "*"
"21" "chr1" 1103333 1104384 1052 "*"
"22" "chr1" 1104468 1109285 4818 "*"
"23" "chr1" 1133314 1138887 5574 "*"
"24" "chr1" 1142090 1146705 4616 "*"
"25" "chr1" 1149549 1152287 2739 "*"
"26" "chr1" 1167448 1167628 181 "*"
"27" "chr1" 1170421 1177825 7405 "*"
"28" "chr1" 1182103 1189291 7189 "*"
"29" "chr1" 1209235 1215815 6581 "*"
"30" "chr1" 1227410 1227763 354 "*"
"31" "chr1" 1260068 1260142 75 "*"
"32" "chr1" 1264277 1266725 2449 "*"
"33" "chr1" 1269845 1270657 813 "*"
"34" "chr1" 1284493 1288070 3578 "*"
"35" "chr1" 1297158 1309109 11952 "*"
"36" "chr1" 1310819 1321090 10272 "*"
"37" "chr1" 1334719 1334909 191 "*"
"38" "chr1" 1342694 1353799 11106 "*"
"39" "chr1" 1356825 1361507 4683 "*"
"40" "chr1" 1363168 1370902 7735 "*"
"41" "chr1" 1378263 1385068 6806 "*"
"42" "chr1" 1405539 1407163 1625 "*"
"43" "chr1" 1444690 1447522 2833 "*"
"44" "chr1" 1470068 1470157 90 "*"
"45" "chr1" 1475741 1477052 1312 "*"
"46" "chr1" 1510263 1533387 23125 "*"
"47" "chr1" 1535477 1550794 15318 "*"
"48" "chr1" 1565991 1567559 1569 "*"
"49" "chr1" 1570031 1571099 1069 "*"
"50" "chr1" 1677439 1682670 5232 "*"
"51" "chr1" 1711509 1716724 5216 "*"
"52" "chr1" 1822527 1846265 23739 "*"
"53" "chr1" 1848734 1849028 295 "*"
"54" "chr1" 1850741 1884751 34011 "*"
"55" "chr1" 1935277 1950767 15491 "*"
"56" "chr1" 1962193 1981908 19716 "*"
"57" "chr1" 2139173 2160133 20961 "*"
"58" "chr1" 2241653 2252695 11043 "*"
"59" "chr1" 2322994 2323213 220 "*"
"60" "chr1" 2344011 2407753 63743 "*"
"61" "chr1" 2436970 2439974 3005 "*"
"62" "chr1" 2458036 2460183 2148 "*"
"63" "chr1" 2461685 2481358 19674 "*"
"64" "chr1" 2484285 2486162 1878 "*"
"65" "chr1" 2495268 2517898 22631 "*"
"66" "chr1" 2564482 2572806 8325 "*"
"67" "chr1" 2706231 2938045 231815 "*"
"68" "chr1" 2939468 2976180 36713 "*"
"69" "chr1" 2984290 2985741 1452 "*"
"70" "chr1" 3355186 3371146 15961 "*"
"71" "chr1" 3397678 3404505 6828 "*"
"72" "chr1" 3528060 3541555 13496 "*"
"73" "chr1" 3546695 3547330 636 "*"
"74" "chr1" 3566672 3569128 2457 "*"
"75" "chr1" 3663938 3668964 5027 "*"
"76" "chr1" 3688210 3689333 1124 "*"
"77" "chr1" 3692547 3696783 4237 "*"
"78" "chr1" 3713069 3728644 15576 "*"
"79" "chr1" 3773798 3773844 47 "*"
"80" "chr1" 3801994 3805696 3703 "*"
"81" "chr1" 3816858 3816967 110 "*"
"82" "chr1" 3833880 4000671 166792 "*"
"83" "chr1" 4012644 4472110 459467 "*"
"84" "chr1" 4484745 4715104 230360 "*"
"85" "chr1" 4843852 5624130 780279 "*"
"86" "chr1" 5624204 5922731 298528 "*"
"87" "chr1" 5922802 5922869 68 "*"
"88" "chr1" 6161254 6161846 593 "*"
"89" "chr1" 6240195 6245079 4885 "*"
"90" "chr1" 6259680 6266188 6509 "*"
"91" "chr1" 6296045 6304251 8207 "*"
"92" "chr1" 6305639 6307405 1767 "*"
"93" "chr1" 6321036 6324331 3296 "*"
"94" "chr1" 6453827 6472497 18671 "*"
"95" "chr1" 6484731 6484847 117 "*"
"96" "chr1" 6521005 6521213 209 "*"
"97" "chr1" 6580122 6581406 1285 "*"
"98" "chr1" 6614659 6615337 679 "*"
"99" "chr1" 6639818 6640055 238 "*"
"100" "chr1" 6649341 6650778 1438 "*"
"101" "chr1" 6662930 6673755 10826 "*"
"102" "chr1" 6684094 6684924 831 "*"
"103" "chr1" 6761967 6845383 83417 "*"
"104" "chr1" 7829767 7831328 1562 "*"
"105" "chr1" 7841493 7844379 2887 "*"
"106" "chr1" 7973295 7975930 2636 "*"
"107" "chr1" 8003226 8021713 18488 "*"
"108" "chr1" 8045343 8071778 26436 "*"
